1000101;44400049;去副本“蛇龙之巢”击败“红龙梅吉亚”
1000102;44400229;去“普鲁顿神殿2层”击败30个“咕卟咕卟”
1000103;44400230;去“风车平原地带”击败30个“蝴蝶仙子”
1000104;44400048;去“红高粱地”击败30个“南霸天”
1000105;44400174;去“阿尔卡帝亚”击败30个“桃太郎”
1000106;44400231;去“山岳地带”击败30个“棕熊”
1000107;44400175;去“猫头鹰之城”击败30个“紫巾盗贼”
1000108;44400095;去“阿尔卡帝亚”击败30个“桃太郎”
1000109;44400232;去“黑月城”击败30个“赤影忍者”
1000110;44400233;去“金字塔”击败30个“僵尸”
1000111;44400051;去“红高粱地”击败30个“南霸天”
1000112;44400052;去“沙漠地带”击败40个“刺花美眉”
1000113;44400057;去副本“极地迷宫”击败“冰魔卡妙”
1000114;44400098;去副本“早已冷却的心脏”击败“海龙王”
1000115;44400099;去副本“领主房间”击败“瘦春植”
1000116;44400054;去“沙漠地带”击败40个“刺花美眉”
1000117;44400055;去“深渊的遗址”击败60个“海马”
1000118;44400100;去副本“齐麦罗研究所”击败“葩娜”
1000119;44400234;去“深渊的遗址”击败30个“坎贝尔”
1000120;44400235;去“金兰云梯”击败30个“妖娘娘”
1000121;44400058;去“深渊的遗址”击败60个“海马”
1000122;44400059;去“西部列车”击败60个“蒙面仙人掌精”
1000123;44400061;去“西部列车”击败“吉他手jane”
1000124;44400103;去副本“瓦尔哈拉”击败“蓝色妖姬”
1000125;44400104;去副本“黑暗塔城”击败“厮杀者2”
1000126;44400062;去“太空农场”击败80个“流浪者”
1000127;44400063;去“西部列车”击败60个“蒙面仙人掌精”
1000128;44400064;去“艾尔平原西部”击败80个“克博特火枪手”
1000129;44400067;去“遗忘平原”击败80个“长耳兔”
1000130;44400177;去“西部列车”击败“吉他手jane”
1000131;44400069;去副本“星之摇篮”击败“英雄王 泰西欧斯”
1000132;44400071;去副本“星之峭壁”击败“路西莉亚”
1000134;44400073;去“痛苦海岸”击败100个“污染之源”
1000136;44400179;去“遗忘平原”击败80个“长耳兔”
1000137;44400176;收集1次梦灵碎片
1000138;44400198;使用1次“问好”表情
1000139;44400074;去副本“迷之仓库”击败“拉斐尔”
1000140;44400075;去副本“吉恩蒂亚仓库”击败“仓库丑八怪主管”
1000141;44400076;去副本“天空之城”击败“拉斐尔”
1000142;44400077;去副本“虎狼寺”击败“掌教"
1000143;44400107;去副本“空中战场”击败“加百列”
1000148;44400080;去副本“花之路”击败“女祭司的幻影”
1000149;44400081;去副本“月之路”击败“代勒族的幻影”
1000150;44400082;去副本“梦之路”击败“亚修拉的幻影”
1000151;44400093;去副本“秘密实验室”击败“超级Dr.Q”
1000152;44400110;去副本“燃烧丛林”击败“大魔王分神”
1000157;44400176;收集1次梦灵碎片
1000158;44400198;使用1次“问好”表情
